product_name,product_image_url,product_price,product_url,product_category
Gaupucean Men Modal Stretchy Summer Under Singlet  Bottoming Tank Tops,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/215485/1.jpg?8629,"₦ 3,231",https://www.jumia.com.ng/gaupucean-men-modal-stretchy-summer-under-singlet-bottoming-tank-tops-58451255.html,vests
Men Fitting V-Neck Single Breasted Vest - Red,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/267376/1.jpg?6567,"₦ 6,001",https://www.jumia.com.ng/fashion-men-fitting-v-neck-single-breasted-vest-red-67376242.html,vests
Men's Basketball Vest Sports T-shirt Running Training Clothes,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/690284/1.jpg?5477,"₦ 3,600",https://www.jumia.com.ng/fashion-mens-basketball-vest-sports-t-shirt-running-training-clothes-48209692.html,vests
3 In 1 Men's Casual Vest-Multicolor,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/318766/1.jpg?7357,"₦ 4,988",https://www.jumia.com.ng/fashion-3-in-1-mens-casual-vest-multicolor-66781390.html,vests
Yarrison  YARRISON 3-1 VEST,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/415056/1.jpg?3686,"₦ 3,200",https://www.jumia.com.ng/yarrison-yarrison-3-1-vest-65051439.html,vests
Gaupucean Men Modal Stretchy Summer Under Singlet  Bottoming Tank Tops,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/215485/1.jpg?8628,"₦ 3,231",https://www.jumia.com.ng/gaupucean-men-modal-stretchy-summer-under-singlet-bottoming-tank-tops-58451272.html,vests
3 In 1 Men's Vest-Multicolor,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/127495/1.jpg?7593,"₦ 3,888",https://www.jumia.com.ng/fashion-3-in-1-mens-vest-multicolor-59472120.html,vests
Smart 3-In-1 Men's Singlet (UnderWears)- White,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/145056/1.jpg?4652,"₦ 2,300",https://www.jumia.com.ng/fashion-smart-3-in-1-mens-singlet-underwears-white-65054134.html,vests
Arist Quality Men Round Neck T-Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/980866/1.jpg?4748,"₦ 4,950 - ₦ 5,400",https://www.jumia.com.ng/arist-quality-men-round-neck-t-shirt-66808973.html,vests
Arist Quality Men Round Neck T-Shirt,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/680866/1.jpg?4688,"₦ 4,500 - ₦ 4,950",https://www.jumia.com.ng/arist-quality-men-round-neck-t-shirt-66808684.html,vests
Olo Men's Spandex T-Shirt - Blue,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/290855/1.jpg?9020,"₦ 4,500",https://www.jumia.com.ng/olo-mens-spandex-t-shirt-blue-55809292.html,vests
VICTAN STANDARD 3-1 VEST,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/105056/1.jpg?3333,"₦ 3,200",https://www.jumia.com.ng/victan-standard-3-1-vest-65050185.html,vests
Men's Fashion Hooded Vest,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/481836/1.jpg?5367,"₦ 3,888",https://www.jumia.com.ng/fashion-mens-fashion-hooded-vest-63818444.html,vests
2-in-1 Men's Casual Hooded Vest-Red/Green,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/528794/1.jpg?8429,"₦ 4,500",https://www.jumia.com.ng/fashion-2-in-1-mens-casual-hooded-vest-redgreen-49782568.html,vests
Olo Men's Spandex T-Shirt - Blue,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/290855/1.jpg?9020,"₦ 4,500",https://www.jumia.com.ng/olo-mens-spandex-t-shirt-blue-55809291.html,vests
