product_image_url,product_price
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/980525/1.jpg?1808," 5,370"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/143116/1.jpg?0064," 11,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/017026/1.jpg?7837," 6,990"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/810763/1.jpg?7237," 5,508"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/781154/1.jpg?3959," 4,250"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/14488/1.jpg?4678," 1,999 - ₦ 3,367"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/589114/1.jpg?1766," 3,340 - ₦ 5,700"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/26998/1.jpg?7677," 1,104 - ₦ 1,456"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/862615/1.jpg?5441," 13,999"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/581975/1.jpg?0688," 4,520"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/725864/1.jpg?6681," 5,600"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/031126/1.jpg?3391," 5,500 - ₦ 6,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/568834/1.jpg?9982," 3,590"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/639583/1.jpg?4639," 3,600"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/772164/1.jpg?1258," 4,800 - ₦ 5,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/864354/1.jpg?6834," 4,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/079316/1.jpg?6917," 6,471"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/031115/1.jpg?1924," 7,750 - ₦ 8,750"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/872102/1.jpg?7443," 6,258"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/755916/1.jpg?3989," 8,897"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/215816/1.jpg?9047," 5,490"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/686022/1.jpg?0568," 6,199"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/340043/1.jpg?3230," 8,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/351073/1.jpg?1091," 10,000 - ₦ 11,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/731714/1.jpg?1821," 3,840"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/832906/1.jpg?5568," 15,050"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/380234/1.jpg?0508," 2,999"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/801595/1.jpg?4195," 4,900 - ₦ 6,900"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/679316/1.jpg?7203," 10,357"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/382795/1.jpg?5014," 4,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/482102/1.jpg?6388," 8,496 - ₦ 9,094"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/579316/1.jpg?7204," 17,280"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/383783/1.jpg?5138," 4,120"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/969316/1.jpg?6919," 29,358"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/109503/1.jpg?0472," 6,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/494123/1.jpg?0010," 6,100"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/555713/1.jpg?9981," 9,799"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/385964/1.jpg?2713," 2,300 - ₦ 2,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/091126/1.jpg?1264," 4,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/579316/1.jpg?7204," 10,652"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/474316/1.jpg?7938," 3,946"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/321695/1.jpg?7127," 3,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/606463/1.jpg?8409," 4,200"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/819471/1.jpg?4778," 6,099 - ₦ 6,699"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/914254/1.jpg?0131," 4,046"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/454854/1.jpg?0025," 4,500 - ₦ 5,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/956704/1.jpg?0391," 5,398"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/609044/1.jpg?9825," 4,199"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/661216/1.jpg?6255," 7,348"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/490595/1.jpg?4020," 4,900 - ₦ 6,900"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/28187/1.jpg?4689," 7,375 - ₦ 7,961"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/645916/1.jpg?2554," 13,515"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/713906/1.jpg?7309," 9,520"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/369744/1.jpg?0952," 6,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/211126/1.jpg?0443," 4,900 - ₦ 6,300"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/716491/1.jpg?7677," 5,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/703863/1.jpg?8849," 5,508"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/692712/1.jpg?3135," 9,999"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/238894/1.jpg?6378," 3,979"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/625214/1.jpg?7154," 4,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/505231/1.jpg?8635," 6,081"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/311724/1.jpg?3272," 2,990"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/382102/1.jpg?6379," 5,199"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/214924/1.jpg?1699," 4,999"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/239116/1.jpg?3870," 10,997"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/882554/1.jpg?4802," 3,900 - ₦ 4,200"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/096855/1.jpg?5737," 4,800"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/691126/1.jpg?2806," 6,768"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/459734/1.jpg?7331," 2,950"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/422753/1.jpg?1552," 3,840"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/181216/1.jpg?6796," 9,900"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/645916/1.jpg?2554,"₦ 19,397 - ₦ 22,896"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/179316/1.jpg?7085," 27,242"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/302216/1.jpg?7294," 9,963"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/320175/1.jpg?5059," 8,500 - ₦ 10,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/879316/1.jpg?7330," 11,260"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/695491/1.jpg?5365," 4,429"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/138894/1.jpg?6447," 4,699 - ₦ 6,369"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/819471/1.jpg?4778," 2,499"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/239843/1.jpg?9089," 10,000"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/679316/1.jpg?7203," 10,530"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/109116/1.jpg?1407," 9,900"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/719471/1.jpg?2161," 15,399"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/768983/1.jpg?8055," 4,160 - ₦ 4,200"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/167454/1.jpg?6400," 3,400"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/311525/1.jpg?2005," 5,570"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/044102/1.jpg?0632," 7,101"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/555916/1.jpg?3927," 7,662"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/237495/1.jpg?7709," 13,500"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/720026/1.jpg?8146," 3,548"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/855691/1.jpg?7303,"₦ 6,999"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/522216/1.jpg?7567," 6,408"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/859316/1.jpg?6550," 6,878"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/597026/1.jpg?9356," 4,600"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/381311/1.jpg?3893," 3,144"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/347344/1.jpg?0770," 4,699"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/784425/1.jpg?1523," 3,599"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/619471/1.jpg?4774," 2,499 - ₦ 2,599"
https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/425651/1.jpg?8225," 3,399"
