product_name,product_image_url,product_price,product_url,product_category
5 In 1 Quality Suit Material Plain Trousers.,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/585085/1.jpg?7687,"₦ 24,000",https://www.jumia.com.ng/fashion-5-in-1-quality-suit-material-plain-trousers.-58058556.html,trousers
"Men's 3in1 Chinoz Trousers Navy Blue ,Carton,Deep Green",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/340626/1.jpg?9216,"₦ 10,900",https://www.jumia.com.ng/fashion-mens-3in1-chinoz-trousers-navy-blue-cartondeep-green-62604394.html,trousers
Men's Chinoz Trousers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/531595/1.jpg?4436,"₦ 4,000",https://www.jumia.com.ng/fashion-mens-chinoz-trousers-59513529.html,trousers
FRAMZ BRANDFIT QUALITY THICK WHITE  HOODIE,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/218576/1.jpg?6401,"₦ 5,000",https://www.jumia.com.ng/framz-brandfit-quality-thick-white-hoodie-67581271.html,trousers
Men's 3in1 Chinoz Trousers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/350916/1.jpg?2643,"₦ 9,000 - ₦ 11,000",https://www.jumia.com.ng/fashion-mens-3in1-chinoz-trousers-61905300.html,trousers
3 In 1 Men Chinos Trousers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/381606/1.jpg?3486,"₦ 8,500",https://www.jumia.com.ng/fashion-3-in-1-men-chinos-trousers-60618373.html,trousers
2-in-1 Men's Casual Denim Trousers-Multicolour,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/199925/1.jpg?8986,"₦ 8,888",https://www.jumia.com.ng/fashion-2-in-1-mens-casual-denim-trousers-multicolour-52999139.html,trousers
A Set Of Unique Designers Men Trouser,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/460885/1.jpg?7151,"₦ 8,550 - ₦ 9,000",https://www.jumia.com.ng/fashion-a-set-of-unique-designers-men-trouser-58806460.html,trousers
"Chinos Trousers For Men,..",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/041636/1.jpg?9953,"₦ 9,499",https://www.jumia.com.ng/fashion-chinos-trousers-for-men..-63614069.html,trousers
Men Turkey Fit Suit Trouser,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/861326/1.jpg?9560,"₦ 12,000",https://www.jumia.com.ng/fashion-men-turkey-fit-suit-trouser-62316801.html,trousers
FRAMZ BRANDFIT Quality Joggers (blue With White Stripes),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/587576/1.jpg?5374,"₦ 4,800",https://www.jumia.com.ng/framz-brandfit-quality-joggers-blue-with-white-stripes-67578547.html,trousers
3 In 1 Men Trousers Black Navy Blue Ash,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/439606/1.jpg?4306,"₦ 11,200",https://www.jumia.com.ng/fashion-3-in-1-men-trousers-black-navy-blue-ash-60693406.html,trousers
Smart Afri Print Men's Combat Trouser,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/001666/1.jpg?8141,"₦ 6,500",https://www.jumia.com.ng/fashion-smart-afri-print-mens-combat-trouser-66610071.html,trousers
Black Men 4 In 1 Quality Men Plain Suit Trousers.,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/165436/1.jpg?9053,"₦ 15,000",https://www.jumia.com.ng/4-in-1-quality-men-plain-suit-trousers.-black-men-mpg1522918.html,trousers
Men's Chinoz Trousers Brown,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/989565/1.jpg?8347,"₦ 4,500",https://www.jumia.com.ng/fashion-mens-chinoz-trousers-brown-56598941.html,trousers
Black Men 3 In 1 Quality Plain Trousers.,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/681326/1.jpg?7054,"₦ 12,500",https://www.jumia.com.ng/3-in-1-quality-plain-trousers.-black-men-mpg1516028.html,trousers
"Men's 3in1 Chinoz Trouser Blue,carton,and,Deep Green",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/930626/1.jpg?8969,"₦ 10,900 - ₦ 11,900",https://www.jumia.com.ng/fashion-mens-3in1-chinoz-trouser-bluecartonanddeep-green-62603929.html,trousers
Men's Classy Chinos Trouser - Cream,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/419175/1.jpg?1816,"₦ 4,250",https://www.jumia.com.ng/fashion-mens-classy-chinos-trouser-cream-57191462.html,trousers
Men's 3in1 Chinoz Trousers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/731595/1.jpg?4498,"₦ 11,000",https://www.jumia.com.ng/fashion-mens-3in1-chinoz-trousers-59513722.html,trousers
Plain Black  Suit Trouser For Men,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/113475/1.jpg?8095,"₦ 4,500",https://www.jumia.com.ng/fashion-plain-black-suit-trouser-for-men-57431151.html,trousers
Men's 2in1 Chinoz Trousers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/736664/1.jpg?8988,"₦ 7,000",https://www.jumia.com.ng/fashion-mens-2in1-chinoz-trousers-46663762.html,trousers
